country,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80plus,all
Brazil,1592,4688,6781,7112,7281,7452,7531,7538,7580,7644,7685,7558,7343,7093,5678,5556
Brunei,1393,3474,4650,4678,4629,4639,4617,4577,4594,4664,4741,4837,4792,4773,3755,3593
Bulgaria,1448,3682,4877,5060,5211,5496,5689,5800,5928,6128,6320,6420,6436,6417,4829,4963
Burkina Faso,1746,4401,5752,5979,6217,6607,6854,6948,7098,7294,7522,7577,7524,7415,5653,3540
Burundi,1979,5064,6621,6723,6880,7312,7598,7712,7873,8109,8274,8251,8113,7893,6034,3991
Cambodia,1134,2874,3849,4193,4517,4919,5222,5489,5770,6159,6353,6295,6144,5894,4521,3263
Cameroon,1792,4511,5873,6153,6374,6740,6946,7019,7163,7339,7509,7569,7499,7404,5685,3787
Canada,1549,4080,5469,5341,5198,5248,5202,5093,5036,5012,5075,5073,5022,4902,3798,4335
Cape Verde,1778,4582,6045,6209,6374,6745,7027,7179,7384,7584,7592,7577,7623,7347,5599,4658
Central African Republic,1831,4664,6103,6333,6506,6865,7088,7166,7340,7486,7672,7675,7551,7406,5681,4121
Chad,1752,4444,5811,6013,6229,6649,6902,6971,7062,7224,7401,7441,7382,7317,5603,3401
Chile,1733,4336,5765,5886,5917,6014,6040,5925,5873,5889,5951,5994,5912,5817,4531,4704
China,1014,2524,3262,3473,3795,4339,4851,5280,5671,6078,6403,6449,6379,6295,4893,3962
Colombia,1515,4057,5590,5806,5862,5831,5864,6019,6239,6519,6676,6643,6465,6245,4921,4511
Comoros,1962,5005,6515,6650,6817,7204,7472,7579,7736,7911,8118,8080,7942,7748,5918,4264
Congo,1841,4655,6077,6307,6500,6866,7076,7174,7329,7490,7657,7675,7546,7397,5647,3902
Costa Rica,1479,4023,5533,5708,5703,5656,5662,5838,6048,6303,6477,6377,6229,6033,4707,4504
Cote d'Ivoire,1761,4447,5777,5972,6191,6610,6865,6860,6921,7032,7169,7179,7101,7021,5390,3719
Croatia,1465,3705,4899,5072,5249,5517,5715,5816,5951,6118,6269,6417,6433,6413,4838,4847
Cuba,1602,4333,5960,6162,6257,6404,6475,6511,6582,6724,6809,6738,6560,6314,4978,5318
Cyprus,1605,3815,5184,5625,5843,5987,5948,5732,5617,5566,5611,5686,5664,5591,4567,4783
Czech Republic,1485,3746,4931,5119,5275,5569,5743,5824,5970,6141,6328,6436,6446,6427,4876,4913
Democratic Republic of the Congo,1841,4704,6155,6374,6589,6929,7159,7263,7393,7582,7756,7760,7658,7498,5701,3709
Denmark,1634,3891,5292,5694,5884,5932,5837,5678,5595,5593,5646,5704,5710,5675,4660,4679
Djibouti,2004,5169,6769,6787,6920,7394,7712,7808,7939,8135,8314,8296,8138,7919,6055,4933
Dominica,1584,4301,5910,6100,6225,6357,6437,6477,6578,6731,6835,6742,6557,6338,4976,4728
Dominican Republic,1592,4294,5907,6091,6190,6366,6490,6517,6611,6737,6843,6763,6562,6347,4947,4408
Ecuador,1583,4288,5879,6099,6228,6377,6470,6558,6656,6787,6906,6813,6589,6348,5030,4469
Egypt,1398,3199,4025,4447,4769,5099,5302,5311,5349,5452,5519,5461,5324,5153,4043,3287
El Salvador,1449,3878,5362,5611,5684,5645,5664,5826,6042,6286,6465,6413,6231,6008,4707,4155
Equatorial Guinea,1832,4661,6124,6326,6490,6835,7079,7154,7263,7417,7545,7528,7472,7346,5633,4131
Eritrea,1999,5137,6726,6763,6893,7363,7646,7753,7889,8071,8264,8276,8161,7999,6082,4188
Estonia,1595,3814,4783,5272,5561,5824,6143,6570,7052,7599,8067,8325,8501,8633,6181,5587
Ethiopia,2139,5439,7057,7094,7231,7672,8004,8143,8308,8537,8707,8702,8543,8312,6334,4506
Federated States of Micronesia,1193,2979,3876,4030,4272,4624,5028,5311,5529,5885,6046,6113,6101,5920,4504,3029
Fiji,1198,2959,3835,4018,4272,4672,5004,5258,5545,5873,6099,6136,6044,5912,4509,3427
Finland,2012,4459,5899,6296,6488,6596,6556,6346,6252,6216,6261,6383,6401,6375,5214,5295
France,1728,3886,5203,5577,5655,5735,5718,5561,5517,5507,5550,5573,5587,5573,4609,4522
Gabon,1826,4649,6127,6305,6510,6863,7058,7122,7267,7419,7585,7591,7519,7380,5634,4247
Georgia,1439,3645,4849,5093,5274,5557,5765,5965,6142,6400,6608,6691,6727,6624,4967,4726
Germany,1729,3955,5392,5827,5986,5968,5823,5654,5564,5546,5601,5673,5692,5640,4657,4923
Ghana,1779,4477,5805,6038,6319,6756,6963,6981,7079,7214,7365,7373,7311,7332,5641,4012
Greece,1999,4456,6002,6538,6755,6628,6456,6343,6325,6312,6373,6410,6374,6345,5098,5431
Greenland,1657,4190,5486,5487,5406,5479,5443,5361,5304,5235,5291,5271,5303,5294,4192,3928
Grenada,1585,4270,5825,5983,6094,6286,6318,6427,6573,6707,6758,6711,6621,6392,5030,4532
Guam,1208,2999,3931,4117,4343,4756,5096,5306,5543,5835,6078,6101,6003,5889,4538,3676
